"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"ETERNAL","293.00","311.25","289.65","271.70","299.70","-","28.00","10.31","25,17,63,894","7,583.88","311.25","194.80","7.25","-"
"SWIGGY","405.00","426.30","403.75","394.75","412.85","-","18.10","4.59","7,48,33,270","3,097.50","617.30","297.00","1.35","-"
"NAUKRI","1,404.00","1,467.50","1,404.00","1,399.80","1,463.80","-","64.00","4.57","35,82,045","521.08","1,825.78","1,157.00","-7.00","-79.50"
"HAVELLS","1,555.00","1,578.00","1,515.10","1,531.60","1,575.10","-","43.50","2.84","46,78,698","723.84","2,106.00","1,381.30","-0.12","-13.40"
"SHREECEM","31,535.00","32,420.00","31,500.00","31,535.00","32,335.00","-","800.00","2.54","51,598","165.76","32,420.00","23,500.00","9.21","15.58"
"HDFCLIFE","752.00","768.55","751.55","752.30","764.25","-","11.95","1.59","40,16,180","305.61","820.75","584.30","-3.42","18.30"
"AMBUJACEM","615.00","624.95","613.80","613.25","622.70","-","9.45","1.54","52,48,994","325.93","695.00","453.05","14.96","-9.54"
"TITAN","3,450.00","3,490.00","3,430.30","3,433.00","3,472.50","-","39.50","1.15","15,64,010","542.76","3,867.00","2,925.00","-2.44","5.34"
"INDIGO","5,900.00","5,944.00","5,871.00","5,878.00","5,943.00","-","65.00","1.11","3,91,737","231.75","6,018.00","3,780.00","9.05","37.29"
"HINDALCO","683.20","692.50","683.20","682.70","688.50","-","5.80","0.85","31,53,606","217.18","772.65","546.45","5.17","2.97"
"ICICIGI","1,960.00","1,974.90","1,949.40","1,952.20","1,966.60","-","14.40","0.74","3,98,897","78.21","2,301.90","1,613.70","-0.95","3.76"
"MARUTI","12,449.00","12,530.00","12,319.00","12,405.00","12,487.00","-","82.00","0.66","1,48,023","183.95","13,680.00","10,725.00","-3.02","-0.95"
"HINDUNILVR","2,470.00","2,485.00","2,452.60","2,464.90","2,481.10","-","16.20","0.66","6,74,605","166.62","3,035.00","2,136.00","6.88","-9.61"
"COALINDIA","386.80","391.75","385.50","386.80","389.20","-","2.40","0.62","41,36,749","160.84","543.55","349.25","-0.58","-20.74"
"IOC","151.30","152.44","150.65","151.07","151.99","-","0.92","0.61","70,03,350","106.23","185.97","110.72","8.96","-8.71"
"BRITANNIA","5,695.50","5,738.50","5,634.00","5,681.50","5,714.50","-","33.00","0.58","1,95,387","111.29","6,469.90","4,506.00","1.69","-3.34"
"JINDALSTEL","963.20","973.45","960.00","960.05","965.20","-","5.15","0.54","14,21,781","137.28","1,073.70","723.35","6.78","1.45"
"ICICIBANK","1,474.10","1,482.00","1,469.70","1,465.80","1,473.60","-","7.80","0.53","70,40,088","1,038.59","1,482.00","1,153.00","2.71","17.39"
"LTIM","5,162.00","5,204.50","5,142.50","5,154.00","5,179.00","-","25.00","0.49","1,41,373","73.16","6,767.95","3,802.00","-4.14","-10.56"
"ONGC","245.04","246.87","244.07","245.04","246.18","-","1.14","0.47","42,65,940","104.75","345.00","205.00","-2.72","-23.34"
"BEL","403.00","404.70","399.75","399.95","401.75","-","1.80","0.45","96,47,834","388.03","436.00","240.25","-2.03","30.57"
"HDFCBANK","2,013.10","2,018.00","2,003.00","2,000.50","2,008.70","-","8.20","0.41","52,67,869","1,058.75","2,027.10","1,588.05","1.82","24.46"
"SBILIFE","1,791.10","1,815.30","1,791.10","1,804.70","1,811.70","-","7.00","0.39","4,46,626","80.58","1,936.00","1,372.55","-0.34","9.53"
"CGPOWER","682.00","688.90","676.10","680.65","683.10","-","2.45","0.36","24,67,348","168.67","874.70","517.70","-1.10","0.74"
"BAJFINANCE","955.00","962.00","940.00","948.45","951.00","-","2.55","0.27","53,40,318","507.50","978.80","642.50","4.80","-86.32"
"DMART","4,042.70","4,084.00","4,009.50","4,023.70","4,032.30","-","8.60","0.21","8,84,166","356.35","5,484.85","3,340.00","-6.43","-19.70"
"POWERGRID","297.10","298.85","294.55","297.00","297.60","-","0.60","0.20","59,57,890","176.87","366.25","247.30","1.33","-10.60"
"BAJAJHLDNG","14,100.00","14,107.00","13,949.00","14,035.00","14,063.00","-","28.00","0.20","16,015","22.50","14,740.00","9,078.85","3.09","44.48"
"BAJAJHFL","121.55","122.45","121.11","121.39","121.57","-","0.18","0.15","24,99,004","30.41","188.50","103.10","1.46","-"
"TATASTEEL","163.30","164.41","163.12","163.02","163.23","-","0.21","0.13","1,05,26,170","172.36","170.18","122.62","7.27","3.33"
"M&M","3,246.70","3,271.90","3,210.50","3,246.70","3,250.10","-","3.40","0.10","15,96,455","517.30","3,271.90","2,425.00","1.96","18.09"
"DABUR","515.45","516.40","511.00","514.55","515.05","-","0.50","0.10","10,35,654","53.19","672.00","433.30","10.21","-18.70"
"BHARTIARTL","1,909.20","1,911.30","1,883.00","1,909.20","1,910.90","-","1.70","0.09","36,21,747","687.59","2,045.80","1,422.60","-1.42","30.61"
"HAL","4,775.00","4,809.90","4,751.00","4,751.00","4,754.90","-","3.90","0.08","7,74,305","370.07","5,165.00","3,046.05","-4.47","-1.03"
"TCS","3,159.60","3,180.10","3,154.60","3,158.20","3,160.10","-","1.90","0.06","24,34,820","770.56","4,592.25","3,056.05","-8.08","-26.59"
"GAIL","184.20","184.85","183.26","184.12","184.15","-","0.03","0.02","56,48,186","103.93","246.30","150.52","1.25","-16.22"
"GODREJCP","1,240.10","1,244.60","1,230.20","1,238.70","1,238.70","-","-","-","5,16,856","64.00","1,541.85","979.50","4.14","-14.68"
"TECHM","1,550.00","1,552.80","1,541.20","1,543.80","1,543.40","-","-0.40","-0.03","11,43,995","177.07","1,807.70","1,209.40","-8.98","3.51"
"AXISBANK","1,102.00","1,110.60","1,095.00","1,099.60","1,099.00","-","-0.60","-0.05","83,57,087","921.09","1,292.35","933.50","-9.92","-14.91"
"APOLLOHOSP","7,270.00","7,291.50","7,216.50","7,254.50","7,249.00","-","-5.50","-0.08","2,36,348","171.34","7,635.00","6,001.00","2.70","13.67"
